# Dt pitch noise nIonTot sigma nPixTot sigma sigTot sigma maxH sigma alpha
 9.0 5.0 30.0 94768.6216132 125.35296197 407.330217467 85.987055833 94710.5601587 604.829375028 1059.58814272 603.157833615 4.35694533299
 10.0 4.0 10.0 94748.7631119 129.404907428 685.449276587 153.357896595 94751.8126209 281.30123245 736.245916208 227.894359097 0.968833663103
 5.0 4.0 20.0 94762.2180122 126.444674088 326.53997774 76.9244053231 94765.5688228 368.449094867 2012.46899451 400.952757837 -0.00182579823546
 9.0 6.0 10.0 94768.7924956 133.714409615 297.846417338 58.8912117318 94759.5606962 220.954211656 2090.77808878 416.970611691 -0.00191583432632
 2.0 3.0 30.0 94767.1122292 126.832611153 239.992897391 52.289654734 94732.4313013 465.138691415 3410.7917461 598.379770606 -0.00219258296638
 8.0 10.0 20.0 94758.3327038 128.497394562 110.613845312 21.2207917586 94766.2056477 241.201139473 4499.98284609 2527.08135168 76112.9610314
 4.0 7.0 30.0 94759.624574 128.576576776 102.391019614 22.3283813946 94749.0850666 327.552408375 5289.25037002 2200.86790797 2.65552780648
 4.0 4.0 10.0 94753.737937 122.517945314 264.975150666 59.1676440291 94763.9542726 207.42914164 2635.35257674 513.771590142 -0.00288370362826
 3.0 9.0 30.0 94759.0964585 123.692888291 54.0152353903 11.2593562443 94766.1001496 258.953639038 9266.58297176 1157.46343887 0.0208208962495
 8.0 6.0 20.0 94761.4292958 127.107100779 261.888247546 50.6503337244 94770.8459042 346.921496325 2429.30190566 487.589118727 -0.00164109887217
 6.0 1.0 20.0 94762.3635086 133.684915851 1448.37682561 3924.14878961 94195.961568 1423.68366815 110.324674733 54.3992517138 -5.43135047809
 7.0 1.0 10.0 94764.1314648 129.709677704 1473.00796084 3667.78186489 94208.5486606 956.378002975 101.087983334 53.3664824935 2.43603366569
 1.0 10.0 30.0 94762.7655439 130.071523716 24.7634295526 5.43396946312 94760.3267676 198.38245838 35001.4666054 103115.494895 9.99564841979
 7.0 2.0 30.0 94761.6637187 131.377991669 2148.78370739 875.728980623 94580.1667169 1189.95669506 364.837064919 89.8997765795 -0.00522127975819
 1.0 6.0 30.0 94769.0022258 126.960608974 50.975242891 10.7068379357 94786.483848 247.564463702 10126.1086591 2577566.64697 1283.03682084
 1.0 5.0 10.0 94761.2113364 125.595535625 66.7486335246 13.9098854228 94762.5894375 151.120894631 9080.07972792 1369.24747051 0.0200116413866
 6.0 8.0 30.0 94761.1863079 126.960303821 118.762266914 25.0807328003 94747.1229389 357.726858808 5810.63360061 1193.54133519 -0.00155862628693
 8.0 10.0 10.0 94758.3328457 128.49733631 110.613845312 21.2207917586 94762.1539126 168.389578478 6168.34368632 1260.79172443 -0.00232870734845
 8.0 5.0 30.0 94771.4478033 126.710292696 363.113209171 76.9246651175 94816.7177534 590.183762258 1736.38483525 379.205789667 -0.00212922273663
 4.0 4.0 20.0 94753.737937 122.517945314 264.975150666 59.1676440291 94775.7449529 356.042827839 2635.35257674 513.771590142 -0.00288370362826
 8.0 6.0 10.0 94761.4291786 127.106975846 261.888247546 50.6503337244 94762.4671848 212.717910402 2429.30190566 487.589118727 -0.00164109887217
 3.0 3.0 30.0 94761.0116076 124.793192674 337.046463347 83.5252243278 94798.4203531 543.691692938 2171.07164436 442.98837466 -0.00277721380747
 9.0 10.0 20.0 94754.6090827 124.010096814 123.369986942 22.5395681723 94754.0098802 263.864878304 3882.56959243 2141.753055 4.49390677925
 5.0 7.0 30.0 94763.8795379 131.479555695 125.033306563 26.4915679684 94771.2896618 371.443881413 5571.35445665 1125.81910011 -0.00160496816563
 10.0 4.0 20.0 94748.7631119 129.404907428 685.449276587 153.357896595 94750.5226569 524.705797178 736.245916208 227.894359097 0.968833663103
 5.0 4.0 10.0 94762.2180122 126.444674088 326.53997774 76.9244053231 94760.8341882 211.941388064 2012.46899451 400.952757837 -0.00182579823546
 9.0 6.0 20.0 94768.7924956 133.714409615 297.846417338 58.8912117318 94748.1970652 372.140663263 2090.77808878 416.970611691 -0.00191583432632
